name,type,flavors,positive_effects,negative_effects,ailment,search
Cracker Jack,sativa,"Sweet, Earthy, Woody","Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Cracker Jack,Creative, Energetic, Uplifted, Focused,Sweet, Earthy, Woody,Depression, Pain, Stress, Fatigue, Headaches"
Crater Lake,hybrid,"Citrus, Pine, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted",Dry Mouth,"Depression, Pain, Stress, Fatigue, Eye Pressure","Crater Lake,Relaxed, Euphoric, Happy, Talkative, Uplifted,Citrus, Pine, Pungent,Depression, Pain, Stress, Fatigue, Eye Pressure"
Crazy Miss Hyde,hybrid,"Sweet, Vanilla, Butter","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Pain, Nausea, Eye Pressure, Inflammation","Crazy Miss Hyde,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Vanilla, Butter,Depression, Pain, Nausea, Eye Pressure, Inflammation"
Cream Caramel,indica,"Sweet, Earthy, Honey","Relaxed, Euphoric, Happy, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Cream Caramel,Relaxed, Euphoric, Happy, Sleepy, Focused,Sweet, Earthy, Honey,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Crimea Blue,hybrid,"Blueberry, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Eye Pressure","Crimea Blue,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Blueberry, Pine, Pungent,Depression, Insomnia, Pain, Stress, Eye Pressure"
Critical 47,hybrid,"Honey, Skunk, Pungent","Relaxed, Happy, Creative, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Cramps, Inflammation","Critical 47,Relaxed, Happy, Creative, Sleepy, Giggly,Honey, Skunk, Pungent,Depression, Insomnia, Stress, Cramps, Inflammation"
Critical Bilbo,hybrid,"Tobacco, Cheese, Pepper","Relaxed, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Inflammation, Spasticity","Critical Bilbo,Relaxed, Euphoric, Happy, Talkative,Tobacco, Cheese, Pepper,Depression, Insomnia, Stress, Inflammation, Spasticity"
Critical Cheese,hybrid,"Cheese, Pungent, Earthy","Hungry, Euphoric, Creative, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches","Critical Cheese,Hungry, Euphoric, Creative, Uplifted, Focused,Cheese, Pungent, Earthy,Depression, Pain, Stress, Fatigue, Headaches"
Critical Haze,hybrid,"Citrus, Spicy/Herbal, Earthy","Relaxed, Happy, Uplifted, Aroused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Critical Haze,Relaxed, Happy, Uplifted, Aroused,Citrus, Spicy/Herbal, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Critical Hog,indica,"Earthy, Pungent, Flowery","Relaxed, Hungry, Happy, Uplifted","Dizzy, Dry Mouth","Depression, Insomnia, Pain, Stress, Lack of Appetite","Critical Hog,Relaxed, Hungry, Happy, Uplifted,Earthy, Pungent, Flowery,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Critical Jack,hybrid,"Citrus, Lemon, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Critical Jack,Relaxed, Euphoric, Happy, Creative, Focused,Citrus, Lemon, Pine,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Critical Kali Mist,sativa,"Pine, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth","Depression, Stress, Fatigue, Inflammation, Muscle Spasms","Critical Kali Mist,Euphoric, Happy, Creative, Uplifted, Focused,Pine, Sweet, Earthy,Depression, Stress, Fatigue, Inflammation, Muscle Spasms"
Critical Kush,indica,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Critical Kush,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pungent, Woody,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Critical Mass,indica,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Inflammation","Critical Mass,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Inflammation"
Critical Plus,hybrid,"Pungent, Woody, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Stress, Nausea, Headache, Headaches","Critical Plus,Relaxed, Euphoric, Happy, Creative, Focused,Pungent, Woody, Pine,Depression, Insomnia, Stress, Nausea, Headache, Headaches"
Critical Plus 2.0,indica,"Skunk, Lemon, Pungent","Relaxed, Euphoric, Uplifted, Tingly, Giggly",Not Available,Fatigue,"Critical Plus 2.0,Relaxed, Euphoric, Uplifted, Tingly, Giggly,Skunk, Lemon, Pungent,Fatigue"
Critical Sensi Star,indica,"Sweet, Tree Fruit, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Cramps, Muscle Spasms","Critical Sensi Star,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Tree Fruit, Citrus,Depression, Pain, Stress, Cramps, Muscle Spasms"
Critical Widow,hybrid,"Citrus, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused",Dizzy,"Depression, Pain, Stress, Cramps, Inflammation","Critical Widow,Relaxed, Euphoric, Happy, Uplifted, Focused,Citrus, Sweet, Pungent,Depression, Pain, Stress, Cramps, Inflammation"
Critters Cookies,hybrid,"Earthy, Lemon, Pungent","Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress","Critters Cookies,Relaxed, Happy, Uplifted, Giggly,Earthy, Lemon, Pungent,Depression, Pain, Stress"
Crosswalker,indica,"Blueberry, Pine, Earthy","Relaxed, Euphoric, Happy, Uplifted",Dry Eyes,"Depression, Pain, Nausea, Eye Pressure, Inflammation","Crosswalker,Relaxed, Euphoric, Happy, Uplifted,Blueberry, Pine, Earthy,Depression, Pain, Nausea, Eye Pressure, Inflammation"
Crouching Tiger Hidden Alien,indica,"Pine, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Sleepy",Dry Mouth,"Pain, Stress, Nausea, Inflammation, Muscle Spasms","Crouching Tiger Hidden Alien,Relaxed, Euphoric, Happy, Creative, Sleepy,Pine, Earthy, Spicy/Herbal,Pain, Stress, Nausea, Inflammation, Muscle Spasms"
Crown OG,indica,"Diesel, Chemical, Pepper","Relaxed, Hungry, Euphoric, Happy, Tingly",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Crown OG,Relaxed, Hungry, Euphoric, Happy, Tingly,Diesel, Chemical, Pepper,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Crown Royale,indica,"Sweet, Pungent, Flowery","Relaxed, Euphoric, Happy, Focused, Aroused",Dry Mouth,"Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms","Crown Royale,Relaxed, Euphoric, Happy, Focused, Aroused,Sweet, Pungent, Flowery,Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms"
Crunch Berry Kush,hybrid,"Berry, Sweet, Lemon","Relaxed, Euphoric, Happy, Focused",Dry Mouth,"Depression, Insomnia, Stress, Lack of Appetite, Nausea","Crunch Berry Kush,Relaxed, Euphoric, Happy, Focused,Berry, Sweet, Lemon,Depression, Insomnia, Stress, Lack of Appetite, Nausea"
Crypt,hybrid,"Sweet, Cheese, Lemon","Relaxed, Euphoric, Happy, Focused, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Headaches","Crypt,Relaxed, Euphoric, Happy, Focused, Giggly,Sweet, Cheese, Lemon,Depression, Pain, Stress, Fatigue, Headaches"
Crystal Coma,sativa,"Earthy, Citrus, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Headaches","Crystal Coma,Euphoric, Happy, Creative, Uplifted, Focused,Earthy, Citrus, Sweet,Depression, Pain, Stress, Lack of Appetite, Headaches"
Crystal Gayle,hybrid,"Earthy, Diesel, Skunk","Hungry, Euphoric, Happy, Creative, Focused",Dry Mouth,Muscle Spasms,"Crystal Gayle,Hungry, Euphoric, Happy, Creative, Focused,Earthy, Diesel, Skunk,Muscle Spasms"
Crystalberry,indica,"Sweet, Berry, Blueberry","Relaxed, Hungry, Sleepy, Giggly, Aroused",Dry Eyes,"Insomnia, Pain, Stress, Nausea, Headaches","Crystalberry,Relaxed, Hungry, Sleepy, Giggly, Aroused,Sweet, Berry, Blueberry,Insomnia, Pain, Stress, Nausea, Headaches"
Cuvee,indica,"Citrus, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted",Anxious,"Depression, Pain, Stress, Cramps, Headaches","Cuvee,Relaxed, Euphoric, Happy, Creative, Uplifted,Citrus, Flowery, Sweet,Depression, Pain, Stress, Cramps, Headaches"
DJ Short Blueberry,indica,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","DJ Short Blueberry,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Blueberry, Sweet, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
DJ Smoke,hybrid,"Sweet, Lavender, Pungent","Relaxed, Euphoric, Focused","Dry Mouth, Dry Eyes",,"DJ Smoke,Relaxed, Euphoric, Focused,Sweet, Lavender, Pungent,"
Dairy Queen,hybrid,"Cheese, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Fatigue","Dairy Queen,Relaxed, Euphoric, Happy, Creative, Uplifted,Cheese, Sweet, Berry,Depression, Pain, Stress, Nausea, Headache, Fatigue"
Dakini  Kush,indica,"Coffee, Berry, Earthy","Relaxed, Euphoric, Happy, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Eye Pressure","Dakini  Kush,Relaxed, Euphoric, Happy, Sleepy,Coffee, Berry, Earthy,Depression, Insomnia, Pain, Stress, Eye Pressure"
Damn Sour,sativa,"Earthy, Sweet, Citrus","Hungry, Euphoric, Happy, Creative, Energetic",Not Available,"Depression, Pain, Cramps, Nausea, Headaches","Damn Sour,Hungry, Euphoric, Happy, Creative, Energetic,Earthy, Sweet, Citrus,Depression, Pain, Cramps, Nausea, Headaches"
Damnesia,hybrid,"Pepper, Spicy/Herbal, Earthy","Relaxed, Happy, Energetic, Talkative, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Fatigue","Damnesia,Relaxed, Happy, Energetic, Talkative, Uplifted,Pepper, Spicy/Herbal, Earthy,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Dance World,sativa,"Flowery, Pungent, Citrus","Relaxed, Happy, Energetic, Talkative, Uplifted",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Inflammation","Dance World,Relaxed, Happy, Energetic, Talkative, Uplifted,Flowery, Pungent, Citrus,Depression, Pain, Stress, Lack of Appetite, Inflammation"
Dancehall,hybrid,"Earthy, Sweet, Spicy/Herbal","Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Inflammation","Dancehall,Relaxed, Happy, Creative, Uplifted, Focused,Earthy, Sweet, Spicy/Herbal,Depression, Pain, Stress, Cramps, Inflammation"
Dank Schrader,indica,"Tropical, Pine, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation","Dank Schrader,Relaxed, Hungry, Euphoric, Happy, Uplifted,Tropical, Pine, Earthy,Depression, Insomnia, Pain, Stress, Headache, Inflammation"
Dank Sinatra,hybrid,"Berry, Blue Cheese, Diesel","Relaxed, Euphoric, Happy, Sleepy, Focused",Not Available,"Depression, Fatigue","Dank Sinatra,Relaxed, Euphoric, Happy, Sleepy, Focused,Berry, Blue Cheese, Diesel,Depression, Fatigue"
Danky Doodle,indica,"Honey, Pungent, Skunk","Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Danky Doodle,Relaxed, Euphoric, Happy, Talkative, Sleepy,Honey, Pungent, Skunk,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Dark Blue Dream,hybrid,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted",Not Available,"Depression, Stress, Lack of Appetite, Fatigue, Headaches","Dark Blue Dream,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Berry, Earthy,Depression, Stress, Lack of Appetite, Fatigue, Headaches"
Dark Side of the Moon,indica,"Earthy, Berry, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches","Dark Side of the Moon,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Berry, Spicy/Herbal,Depression, Insomnia, Pain, Stress, Headaches"
Dark Star,indica,"Earthy, Woody, Pine","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Dark Star,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Woody, Pine,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Darkside OG,indica,"Earthy, Sweet, Lemon","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Fatigue, Eye Pressure, Muscle Spasms","Darkside OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Sweet, Lemon,Insomnia, Pain, Fatigue, Eye Pressure, Muscle Spasms"
Darth Vader OG,indica,"Grape, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Inflammation","Darth Vader OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Grape, Earthy, Pungent,Depression, Insomnia, Pain, Stress, Headache, Inflammation"
Dawg's Waltz,hybrid,"Skunk, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Fatigue, Muscle Spasms","Dawg's Waltz,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Skunk, Earthy, Sweet,Insomnia, Pain, Stress, Fatigue, Muscle Spasms"
Dawgfather OG,hybrid,"Chemical, Pepper, Pungent","Relaxed, Sleepy",Not Available,"Insomnia, Pain","Dawgfather OG,Relaxed, Sleepy,Chemical, Pepper, Pungent,Insomnia, Pain"
Day Tripper,hybrid,"Butter, Citrus, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth","Insomnia, Pain, Nausea, Fatigue, Muscle Spasms","Day Tripper,Relaxed, Euphoric, Happy, Energetic, Uplifted,Butter, Citrus, Earthy,Insomnia, Pain, Nausea, Fatigue, Muscle Spasms"
Deadhead OG,hybrid,"Earthy, Pungent, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Deadhead OG,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Diesel,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Deadwood,indica,"Berry, Earthy, Lavender","Relaxed, Creative, Sleepy, Focused",Dry Mouth,"Pain, Stress, Muscle Spasms","Deadwood,Relaxed, Creative, Sleepy, Focused,Berry, Earthy, Lavender,Pain, Stress, Muscle Spasms"
Death Bubba,indica,"Pungent, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Death Bubba,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Pungent, Earthy, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Death Star,indica,"Earthy, Diesel, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms","Death Star,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Diesel, Pungent,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Death Star OG,indica,"Earthy, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Death Star OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Deep Cheese,hybrid,"Cheese, Pungent, Skunk","Relaxed, Happy, Uplifted, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes","Cramps, Lack of Appetite, Nausea, Fatigue","Deep Cheese,Relaxed, Happy, Uplifted, Sleepy, Focused,Cheese, Pungent, Skunk,Cramps, Lack of Appetite, Nausea, Fatigue"
Deep Chunk,indica,"Earthy, Plum, Ammonia","Relaxed, Euphoric, Happy, Creative, Sleepy",Dry Mouth,"Insomnia, Pain, Stress, Fatigue, Eye Pressure","Deep Chunk,Relaxed, Euphoric, Happy, Creative, Sleepy,Earthy, Plum, Ammonia,Insomnia, Pain, Stress, Fatigue, Eye Pressure"
Deep Purple,indica,"Grape, Earthy, Ammonia","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Inflammation","Deep Purple,Relaxed, Euphoric, Happy, Tingly, Sleepy,Grape, Earthy, Ammonia,Depression, Insomnia, Pain, Stress, Headache, Inflammation"
Deep Sleep,indica,"Sweet, Pungent, Diesel","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms","Deep Sleep,Relaxed, Euphoric, Happy, Tingly, Sleepy,Sweet, Pungent, Diesel,Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms"
DelaHaze,sativa,"Citrus, Lemon, Mango","Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation","DelaHaze,Euphoric, Happy, Energetic, Uplifted, Focused,Citrus, Lemon, Mango,Depression, Pain, Stress, Headache, Fatigue, Inflammation"
Denver Maple,indica,"Sweet, Earthy, Pine","Relaxed, Happy, Uplifted, Sleepy, Giggly",Dry Eyes,"Depression, Stress, Cramps, Headaches, Eye Pressure","Denver Maple,Relaxed, Happy, Uplifted, Sleepy, Giggly,Sweet, Earthy, Pine,Depression, Stress, Cramps, Headaches, Eye Pressure"
Desert Star,hybrid,Earthy,"Hungry, Creative, Tingly, Sleepy",Dry Mouth,"Depression, Pain, Stress, Nausea, Spasticity","Desert Star,Hungry, Creative, Tingly, Sleepy,Earthy,Depression, Pain, Stress, Nausea, Spasticity"
Destroyer,sativa,"Lavender, Flowery, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly",Not Available,"Depression, Insomnia, Stress, Cramps, Fatigue","Destroyer,Euphoric, Happy, Energetic, Uplifted, Giggly,Lavender, Flowery, Sweet,Depression, Insomnia, Stress, Cramps, Fatigue"
Devil Fruit,indica,"Pepper, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Spasticity","Devil Fruit,Relaxed, Euphoric, Happy, Focused,Pepper, Woody, Spicy/Herbal,Depression, Insomnia, Pain, Stress, Spasticity"
Devil's Tit,sativa,"Nutty, Pepper, Pine","Relaxed, Euphoric, Creative, Energetic, Focused","Paranoid, Anxious","Depression, Lack of Appetite, Fatigue, Headaches, Inflammation","Devil's Tit,Relaxed, Euphoric, Creative, Energetic, Focused,Nutty, Pepper, Pine,Depression, Lack of Appetite, Fatigue, Headaches, Inflammation"
Diablo,indica,"Earthy, Spicy/Herbal, Pungent","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Diablo,Relaxed, Euphoric, Happy, Tingly, Sleepy,Earthy, Spicy/Herbal, Pungent,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Diamond OG,indica,"Pine, Woody, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Diamond OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Pine, Woody, Sweet,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Diamond Valley Kush,hybrid,"Earthy, Spicy/Herbal, Pungent","Relaxed, Happy, Creative, Energetic, Focused",Anxious,"Depression, Stress, Cramps, Fatigue, Eye Pressure","Diamond Valley Kush,Relaxed, Happy, Creative, Energetic, Focused,Earthy, Spicy/Herbal, Pungent,Depression, Stress, Cramps, Fatigue, Eye Pressure"
Diesel Duff,hybrid,"Flowery, Honey, Skunk","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms","Diesel Duff,Euphoric, Happy, Creative, Energetic, Uplifted,Flowery, Honey, Skunk,Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
Dieseltonic,hybrid,"Diesel, Earthy, Woody","Relaxed, Sleepy, Focused, Giggly","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Headaches, Inflammation","Dieseltonic,Relaxed, Sleepy, Focused, Giggly,Diesel, Earthy, Woody,Depression, Pain, Stress, Headaches, Inflammation"
Digweed,indica,"Earthy, Skunk, Pungent","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Cramps, Inflammation","Digweed,Relaxed, Happy, Creative, Uplifted, Sleepy,Earthy, Skunk, Pungent,Depression, Pain, Stress, Cramps, Inflammation"
Dinachem,hybrid,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Energetic, Talkative, Uplifted",Not Available,"Depression, Stress","Dinachem,Relaxed, Euphoric, Energetic, Talkative, Uplifted,Diesel, Pungent, Tropical,Depression, Stress"
Dirty Girl,sativa,"Sweet, Flowery, Pine","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Eye Pressure","Dirty Girl,Euphoric, Happy, Creative, Energetic, Uplifted,Sweet, Flowery, Pine,Depression, Pain, Stress, Fatigue, Eye Pressure"
